source,target
5,4
5,23
5,40
5,141
5,201
5,233
5,247
5,254
5,267
5,284
10,25
10,36
10,102
10,226
10,245
14,66
14,181
14,191
26,0
26,2
26,3
26,38
26,59
26,60
26,71
26,162
26,175
26,184
26,199
26,211
26,252
26,255
26,270
26,277
26,299
36,1
36,64
36,120
36,177
36,193
36,205
36,265
40,44
40,53
40,67
40,70
40,79
40,84
40,85
40,96
40,101
40,103
40,108
40,122
40,125
40,132
40,135
40,136
40,155
40,163
40,183
40,189
40,197
40,222
40,248
40,249
40,288
40,297
41,39
41,48
41,81
41,95
41,139
41,148
41,170
41,175
41,188
41,209
41,212
41,224
41,230
41,240
41,242
41,259
42,18
42,47
42,64
42,143
42,196
47,65
58,29
58,166
58,246
64,54
64,56
64,93
64,127
64,154
64,207
64,219
64,229
64,257
64,266
64,269
64,289
65,83
65,121
65,123
65,124
65,126
65,227
65,279
66,16
66,43
66,50
66,82
66,89
66,97
66,104
66,105
66,111
66,112
66,144
66,151
66,153
66,186
66,217
66,218
66,237
66,245
66,250
66,274
66,286
66,293
78,11
78,21
78,24
78,55
78,114
78,117
78,142
78,174
78,187
78,244
78,271
106,45
106,51
106,68
106,77
106,100
106,114
106,158
106,176
106,231
106,296
114,22
114,28
114,31
114,34
114,35
114,37
114,87
114,99
114,119
114,223
114,251
114,260
114,262
114,292
137,6
137,15
137,64
137,69
137,113
137,118
137,147
137,161
137,241
137,298
141,74
141,159
141,185
141,204
147,194
161,30
161,32
161,33
161,46
161,61
161,62
161,73
161,75
161,88
161,107
161,133
161,157
161,190
161,195
161,202
161,203
161,221
161,243
161,253
161,256
161,268
161,281
165,52
165,149
165,150
165,169
165,172
165,173
165,178
165,208
165,210
165,275
171,91
175,128
175,220
175,282
181,198
189,220
189,276
191,27
191,160
191,167
191,238
198,13
198,72
198,86
198,134
198,140
198,216
220,12
220,17
220,98
220,138
220,164
220,180
220,236
220,294
236,94
236,129
236,131
236,192
236,215
236,235
236,246
236,290
245,130
258,64
258,109
258,171
258,264
258,285
258,295
261,7
261,19
261,40
261,49
261,76
261,90
261,152
261,156
261,179
261,206
261,213
261,214
261,225
261,239
261,263
261,287
267,145
267,147
267,165
267,168
267,232
267,283
272,8
272,20
272,63
272,80
272,115
272,146
272,165
272,280
285,92
285,234
299,9
299,57
299,106
299,110
299,116
299,182
299,200
299,228
299,273
299,278
299,291
