source,target
0,7
0,57
0,65
0,70
0,88
0,104
0,117
0,128
0,143
0,145
0,151
0,162
0,165
0,187
0,195
0,199
1,11
1,38
1,42
1,45
1,50
1,55
1,69
1,84
1,117
1,149
1,183
1,192
1,197
2,20
2,28
2,41
2,50
2,59
2,65
2,111
2,123
2,145
2,149
2,156
2,185
2,198
2,199
3,39
3,80
3,83
3,98
3,126
3,129
3,133
3,142
3,144
3,195
4,11
4,73
4,76
4,80
4,108
4,118
4,119
4,126
4,155
4,191
5,42
5,44
5,72
5,84
5,101
5,157
5,172
5,185
5,196
6,27
6,42
6,63
6,64
6,133
6,151
6,189
7,12
7,13
7,36
7,41
7,42
7,51
7,52
7,58
7,68
7,76
7,90
7,104
7,111
7,115
7,117
7,121
7,130
7,136
7,146
7,147
7,149
7,153
7,178
7,182
7,193
7,195
8,21
8,38
8,76
8,83
8,98
8,111
8,124
8,128
8,142
8,160
8,175
8,189
8,193
9,16
9,17
9,33
9,43
9,71
9,76
9,86
9,92
9,96
9,120
9,124
9,149
9,150
9,160
9,168
9,179
10,12
10,26
10,69
10,70
10,113
10,152
10,156
10,167
10,199
11,13
11,17
11,68
11,76
11,83
11,84
11,98
11,101
11,108
11,128
11,131
11,142
11,143
11,153
11,183
11,192
11,196
12,19
12,29
12,30
12,37
12,38
12,41
12,42
12,50
12,55
12,64
12,65
12,81
12,87
12,98
12,104
12,107
12,111
12,116
12,127
12,136
12,158
12,161
12,187
12,194
12,196
12,199
13,15
13,49
13,68
13,71
13,84
13,103
13,104
13,117
13,126
13,133
13,153
13,160
13,171
13,175
13,186
13,189
13,195
14,27
14,47
14,60
14,63
14,65
14,81
14,99
14,115
14,125
14,146
14,148
14,153
14,159
14,160
14,162
14,184
15,17
15,25
15,53
15,73
15,99
15,115
15,122
15,124
15,143
15,160
15,175
15,195
16,43
16,44
16,63
16,78
16,84
16,120
16,149
16,170
16,186
17,22
17,27
17,49
17,50
17,63
17,68
17,76
17,98
17,106
17,137
17,142
17,157
17,160
17,169
17,175
17,179
17,192
17,195
18,33
18,95
18,105
18,112
18,147
19,24
19,33
19,35
19,37
19,51
19,60
19,64
19,68
19,90
19,97
19,109
19,112
19,145
19,158
20,39
20,57
20,77
20,97
20,101
20,104
20,152
20,166
20,168
20,170
20,172
20,179
20,184
20,185
20,198
20,199
21,36
21,46
21,47
21,59
21,64
21,65
21,72
21,111
21,115
21,116
21,117
21,123
21,128
21,131
21,136
21,145
21,146
21,150
21,160
21,164
21,174
21,178
21,182
21,183
21,185
21,187
21,196
21,198
22,32
22,44
22,49
22,76
22,80
22,92
22,106
22,133
22,169
22,179
22,195
22,196
23,38
23,82
23,100
23,102
23,127
23,132
23,170
23,189
23,191
24,28
24,30
24,37
24,41
24,45
24,72
24,99
24,109
24,128
24,131
24,136
24,147
24,162
24,172
24,173
24,177
24,180
24,185
25,40
25,53
25,67
25,73
25,82
25,84
25,118
25,135
25,155
25,197
26,161
26,165
26,167
26,176
27,38
27,44
27,46
27,53
27,54
27,58
27,68
27,72
27,107
27,116
27,117
27,121
27,136
27,137
27,138
27,147
27,156
27,157
27,158
27,169
27,172
27,178
27,184
27,186
28,47
28,86
28,99
28,107
28,121
28,128
28,136
28,151
28,156
28,172
28,180
28,192
29,41
29,56
29,70
29,93
29,105
29,107
29,121
29,147
29,176
30,31
30,33
30,38
30,47
30,51
30,54
30,55
30,81
30,98
30,105
30,123
30,125
30,131
30,138
30,146
30,174
30,176
30,177
30,190
30,196
30,198
30,199
31,34
31,53
31,93
31,106
31,122
31,125
31,130
31,136
31,138
31,156
31,161
31,174
31,177
31,189
31,196
31,199
32,40
32,83
32,84
32,94
32,106
32,118
32,122
32,128
32,132
32,142
32,143
32,162
32,175
32,195
33,35
33,47
33,57
33,109
33,131
33,138
33,162
33,173
33,174
34,51
34,55
34,81
34,104
34,131
34,138
34,161
34,170
34,174
35,42
35,94
35,162
35,170
35,177
35,199
36,43
36,51
36,58
36,64
36,85
36,87
36,91
36,114
36,136
36,149
36,157
36,187
36,199
37,41
37,61
37,84
37,97
37,115
37,180
37,187
37,192
38,59
38,81
38,102
38,121
38,130
38,135
38,160
38,181
38,183
39,84
39,88
39,90
39,100
39,102
39,108
39,141
39,181
39,191
40,67
40,74
40,80
40,100
40,113
40,133
40,135
40,162
40,181
40,193
41,44
41,46
41,51
41,57
41,65
41,81
41,87
41,107
41,115
41,121
41,123
41,148
41,158
41,161
41,165
41,166
41,169
41,178
41,186
41,193
41,194
41,199
42,46
42,52
42,57
42,64
42,143
42,151
42,183
42,184
42,199
43,44
43,62
43,68
43,72
43,75
43,78
43,120
43,122
43,149
43,150
43,162
43,163
43,187
44,52
44,59
44,72
44,122
44,130
44,149
44,194
44,196
45,50
45,54
45,55
45,66
45,69
45,72
45,95
45,97
45,104
45,112
45,117
45,121
45,140
45,152
45,158
45,161
45,165
45,172
45,174
45,185
46,56
46,68
46,91
46,93
46,111
46,114
46,117
46,143
46,148
46,152
46,157
46,158
46,161
46,178
46,198
46,199
47,63
47,85
47,98
47,115
47,120
47,159
47,161
47,163
47,173
47,174
47,193
48,85
48,98
48,99
48,103
48,107
48,108
48,121
48,141
48,143
48,175
49,65
49,90
49,92
49,98
49,101
49,103
49,108
49,130
49,142
49,143
49,144
49,153
49,169
49,175
49,179
49,193
50,55
50,60
50,65
50,69
50,83
50,91
50,105
50,127
50,140
50,142
50,148
50,149
50,160
50,161
50,164
51,54
51,78
51,81
51,104
51,125
51,145
51,170
51,178
51,199
52,55
52,58
52,78
52,81
52,91
52,107
52,115
52,124
52,131
52,145
52,148
52,149
52,162
52,163
52,183
52,184
52,187
53,54
53,62
53,63
53,73
53,112
53,121
53,122
53,137
53,141
53,151
53,162
53,168
54,68
54,81
54,91
54,93
54,106
54,112
54,116
54,138
54,140
54,158
54,162
54,168
54,169
54,172
54,174
54,178
54,185
54,186
54,193
55,56
55,60
55,69
55,90
55,96
55,104
55,111
55,123
55,128
55,136
55,148
55,151
55,156
55,159
55,160
55,187
55,192
55,196
56,89
56,158
56,159
56,164
57,71
57,81
57,88
57,91
57,97
57,107
57,109
57,116
57,125
57,131
57,138
57,153
57,156
57,162
57,166
57,169
57,185
57,190
57,192
58,59
58,77
58,86
58,87
58,90
58,91
58,106
58,111
58,114
58,115
58,116
58,136
58,149
58,156
58,159
58,163
58,168
58,186
58,187
58,199
59,65
59,87
59,90
59,91
59,112
59,115
59,116
59,124
59,128
59,136
59,139
59,156
59,163
59,177
59,187
59,198
60,70
60,73
60,78
60,97
60,104
60,148
61,65
61,78
61,107
61,112
61,131
61,138
61,147
61,160
61,162
61,168
61,177
61,192
62,121
62,122
62,126
62,193
63,73
63,120
63,122
63,161
63,186
64,77
64,81
64,107
64,112
64,123
64,152
65,77
65,81
65,86
65,90
65,91
65,115
65,116
65,121
65,123
65,144
65,146
65,159
65,161
65,178
65,180
65,183
65,187
65,198
65,199
66,86
66,94
66,100
66,102
66,118
66,138
66,155
66,172
66,182
66,188
66,196
67,76
67,119
67,124
67,126
67,129
67,133
67,135
67,142
68,84
68,99
68,104
68,106
68,110
68,117
68,120
68,137
68,141
68,158
68,175
68,179
69,72
69,91
69,112
69,114
69,117
69,130
69,149
69,151
69,156
69,161
69,169
69,171
69,175
69,177
69,178
70,77
70,105
70,150
70,160
70,164
71,73
71,87
71,142
71,149
71,150
71,158
71,186
72,75
72,86
72,90
72,91
72,107
72,112
72,114
72,123
72,136
72,147
72,148
72,149
72,157
72,159
72,169
72,174
72,177
72,178
72,186
72,196
73,84
73,97
73,122
73,143
73,149
73,158
74,118
74,122
74,126
74,133
74,142
74,182
74,186
74,195
75,94
75,122
75,124
75,137
75,146
75,154
76,92
76,96
76,98
76,106
76,118
76,124
76,125
76,126
76,133
76,142
76,143
76,152
76,158
76,179
76,184
76,195
77,88
77,91
77,92
77,103
77,139
77,140
77,146
77,147
77,159
77,172
77,184
78,91
78,92
78,93
78,115
78,123
78,128
78,131
78,138
78,152
78,162
78,174
78,177
78,178
78,183
78,185
78,187
78,192
78,197
78,198
78,199
79,133
79,134
79,155
79,191
80,83
80,98
80,118
80,129
80,132
80,135
80,144
80,190
81,91
81,103
81,107
81,112
81,115
81,125
81,131
81,138
81,139
81,142
81,148
81,159
81,161
81,170
81,172
81,174
81,178
81,179
81,190
81,196
82,98
82,108
82,132
82,155
82,181
82,191
83,84
83,86
83,92
83,94
83,98
83,101
83,103
83,118
83,124
83,128
83,132
83,136
83,139
83,142
83,144
83,154
83,163
83,169
83,175
83,195
84,92
84,97
84,98
84,104
84,106
84,118
84,141
84,142
84,143
84,154
84,155
84,175
84,187
84,195
84,196
85,103
85,176
86,90
86,132
86,139
86,173
86,182
86,187
86,192
86,196
87,90
87,91
87,112
87,114
87,116
87,123
87,125
87,136
87,139
87,163
87,177
87,178
87,180
87,182
87,187
88,96
88,129
88,136
88,145
88,150
88,173
89,125
89,139
89,143
89,144
89,150
89,172
89,179
89,194
90,96
90,115
90,117
90,123
90,136
90,139
90,147
90,148
90,150
90,157
90,178
90,182
90,192
91,111
91,117
91,123
91,136
91,166
91,178
91,185
91,187
91,198
91,199
92,120
92,124
92,142
92,144
92,151
92,153
92,174
92,175
92,195
93,111
93,116
93,121
93,146
93,185
93,197
94,101
94,115
94,120
94,138
94,142
94,145
94,146
94,169
94,187
94,193
95,104
95,112
95,137
95,143
95,145
95,148
95,152
95,181
96,139
96,145
96,152
96,158
96,167
97,109
97,128
97,149
97,169
97,185
97,192
97,199
98,103
98,106
98,108
98,118
98,130
98,141
98,142
98,143
98,155
98,179
98,192
98,195
98,196
99,109
99,112
99,117
99,128
99,145
99,147
99,151
99,169
99,177
